#,Climb,ProfileScore,,KM,%,Last visit
1,Col de la Loze,391.5,,28.3,6,2023
2,Col de la Croix de Fer,379.2,,,,2022
3,Port de Larrau,367.4,,,,2007
4,Cormet de Roselend,356.4,,20.5,6,2023
5,Col de Soudet,343,,,,2023
6,Mont Ventoux,306,,21.1,7.7,2021
7,Col du Grand Colombier,288.4,,,,2023
8,Col du Tourmalet,278,,19,7.4,2024
9,Col du Tourmalet,262.6,,17.2,7.4,2023
10,Col de la Hourcère,254.6,,11.8,8.3,2020
11,Col du Granon,253.1,,11.4,9.1,2022
12,Cauterets-Cambrasque,248.5,,16.2,5.3,2023
13,Col de Joux Plane,246.1,,,,2023
14,Puy de Dôme,242.6,,14,7.5,2023
15,Col du Galibier,240,,18.1,6.9,2022
16,Hautacam,237.8,,,,2014
17,Col d'Aubisque,235.9,,16.5,7.2,2022
18,Col de la Couillole,234.5,,15.8,7.3,2024
19,L'Alpe d'Huez,232.8,,13.2,8.1,2022
20,Hautacam,228.9,,13.6,7.8,2022
21,Col de Romme,219,,8.8,8.9,2021
22,Col de la Ramaz,210.1,,,,2023
23,Luz-Ardiden,198.8,,,,2021
24,Col de Spandelles,197.6,,10.2,8.3,2022
25,Col de Val Louron-Azet,189.9,,10.5,7.2,2022
